CLIENTNUM,Card_Category,Income_Category,Customer_Age,Total_Relationship_Count,Total_Trans_Ct,Months_Inactive_12_mon,Contacts_Count_12_mon,Avg_Utilization_Ratio,Actual_Attrition,Churn_Probability,Risk_Tier
713333433,Blue,$60K - $80K,49,3,30,4,4,0.0,Attrited Customer,0.9918,High
718524783,Blue,$80K - $120K,40,1,39,3,4,0.0,Attrited Customer,0.9918,High
808903308,Blue,$40K - $60K,54,4,35,3,6,0.0,Attrited Customer,0.9916,High
716573058,Blue,Less than $40K,54,3,40,3,4,0.0,Attrited Customer,0.9916,High
711399408,Blue,Unknown,34,2,40,3,4,0.0,Attrited Customer,0.9915,High
779859558,Blue,Less than $40K,54,2,29,2,4,0.413,Attrited Customer,0.9915,High
713217858,Blue,Less than $40K,38,5,28,3,3,0.0,Existing Customer,0.9913,High
718621608,Blue,Unknown,54,3,14,3,1,0.0,Attrited Customer,0.9912,High
709170108,Blue,$40K - $60K,60,3,36,2,4,0.0,Attrited Customer,0.9912,High
750995508,Blue,$60K - $80K,41,1,29,3,3,0.223,Attrited Customer,0.9911,High
716315508,Blue,$40K - $60K,37,2,32,2,5,0.779,Attrited Customer,0.9909,High
708563433,Blue,Unknown,65,3,32,6,3,0.081,Attrited Customer,0.9909,High
798792408,Blue,$80K - $120K,48,1,24,1,3,0.0,Attrited Customer,0.9908,High
709206333,Blue,$40K - $60K,44,3,40,4,4,0.0,Attrited Customer,0.9908,High
714294183,Blue,$80K - $120K,54,1,51,3,3,0.014,Attrited Customer,0.9907,High
769883733,Blue,$40K - $60K,46,3,31,4,2,0.0,Attrited Customer,0.9907,High
714602658,Blue,Less than $40K,39,1,36,2,3,0.0,Attrited Customer,0.9907,High
720353808,Silver,$80K - $120K,34,1,50,2,3,0.0,Attrited Customer,0.9906,High
711267633,Blue,Less than $40K,50,5,36,4,4,0.074,Attrited Customer,0.9906,High
789713208,Blue,Less than $40K,62,6,29,3,5,0.111,Attrited Customer,0.9905,High
713865333,Blue,Less than $40K,45,3,21,4,3,0.0,Attrited Customer,0.9904,High
809951133,Blue,$120K +,54,3,24,2,3,0.0,Attrited Customer,0.9904,High
708084558,Blue,$80K - $120K,46,6,23,3,3,0.214,Attrited Customer,0.9904,High
709232808,Blue,$40K - $60K,44,2,37,3,2,0.0,Attrited Customer,0.9904,High
715150983,Blue,Unknown,44,2,60,3,3,0.0,Attrited Customer,0.9904,High
711800658,Blue,Less than $40K,42,2,42,3,3,0.0,Attrited Customer,0.9903,High
717840108,Blue,$80K - $120K,48,2,35,3,6,0.282,Attrited Customer,0.9902,High
712979133,Blue,$80K - $120K,55,2,10,2,2,0.033,Attrited Customer,0.9901,High
802673508,Blue,$120K +,57,3,39,5,3,0.0,Attrited Customer,0.9901,High
715570533,Blue,$120K +,48,2,44,2,6,0.0,Attrited Customer,0.99,High
713693958,Blue,Less than $40K,38,6,29,3,4,0.0,Existing Customer,0.9899,High
708241233,Blue,Less than $40K,52,3,25,3,2,0.0,Attrited Customer,0.9898,High
720551733,Blue,Unknown,46,3,41,3,6,0.0,Attrited Customer,0.9898,High
794560833,Blue,$40K - $60K,47,6,34,3,6,0.0,Attrited Customer,0.9898,High
714406158,Blue,Unknown,53,4,42,3,6,0.0,Attrited Customer,0.9897,High
711161133,Blue,Less than $40K,36,2,59,3,3,0.0,Attrited Customer,0.9896,High
714010383,Blue,Unknown,47,5,42,4,5,0.0,Attrited Customer,0.9893,High
793630083,Blue,$120K +,39,1,34,3,4,0.855,Attrited Customer,0.9893,High
771594783,Blue,Unknown,56,2,37,4,4,0.0,Attrited Customer,0.9892,High
828215508,Blue,Less than $40K,55,4,33,4,3,0.0,Attrited Customer,0.9891,High
718473558,Blue,Less than $40K,42,5,38,3,4,0.0,Attrited Customer,0.989,High
820288233,Blue,Less than $40K,26,4,39,3,4,0.0,Existing Customer,0.9889,High
711927108,Blue,$80K - $120K,54,2,28,3,4,0.037,Attrited Customer,0.9889,High
785432733,Gold,Less than $40K,42,2,22,3,3,0.0,Existing Customer,0.9889,High
710570058,Blue,Less than $40K,44,3,37,2,4,0.0,Attrited Customer,0.9888,High
716625033,Blue,Less than $40K,32,3,43,3,6,0.0,Attrited Customer,0.9888,High
714188883,Blue,Less than $40K,46,3,36,2,2,0.0,Attrited Customer,0.9888,High
709102458,Blue,$80K - $120K,47,4,41,3,5,0.0,Attrited Customer,0.9887,High
711626658,Blue,Less than $40K,62,2,45,3,4,0.0,Attrited Customer,0.9887,High
713381433,Blue,Less than $40K,38,3,30,3,3,0.174,Attrited Customer,0.9887,High
772390908,Blue,$40K - $60K,59,2,17,4,3,0.291,Attrited Customer,0.9887,High
720190083,Blue,Less than $40K,56,1,47,3,4,0.0,Attrited Customer,0.9887,High
719874633,Gold,$80K - $120K,44,2,34,2,3,0.0,Attrited Customer,0.9885,High
720766908,Blue,Less than $40K,40,2,37,2,2,0.0,Attrited Customer,0.9885,High
717371583,Blue,Less than $40K,56,1,45,3,5,0.212,Attrited Customer,0.9885,High
719470458,Blue,$80K - $120K,46,1,27,4,3,0.06,Attrited Customer,0.9884,High
711527508,Blue,$40K - $60K,46,2,31,3,2,0.0,Attrited Customer,0.9884,High
771422883,Blue,Less than $40K,57,1,35,4,2,0.106,Attrited Customer,0.9883,High
809626983,Blue,Less than $40K,48,3,37,3,3,0.0,Attrited Customer,0.9882,High
709345008,Blue,Unknown,53,1,22,2,3,0.0,Attrited Customer,0.9882,High
787541883,Blue,$80K - $120K,44,3,27,3,3,0.0,Existing Customer,0.9882,High
712125258,Blue,$120K +,46,3,19,3,3,0.0,Attrited Customer,0.9881,High
711232608,Blue,Less than $40K,47,2,35,3,2,0.0,Attrited Customer,0.9881,High
708108333,Blue,Unknown,47,3,32,3,1,0.0,Attrited Customer,0.9878,High
719547033,Blue,$80K - $120K,40,1,60,3,6,0.0,Attrited Customer,0.9878,High
721233033,Blue,$80K - $120K,50,1,36,2,3,0.094,Attrited Customer,0.9878,High
711791583,Blue,Less than $40K,52,1,19,2,2,0.0,Attrited Customer,0.9877,High
716053083,Blue,$120K +,33,2,18,2,4,0.0,Attrited Customer,0.9877,High
712807758,Blue,Less than $40K,47,3,32,3,3,0.0,Attrited Customer,0.9876,High
710721858,Blue,$40K - $60K,46,2,59,3,4,0.0,Attrited Customer,0.9876,High
718152333,Blue,Unknown,41,2,51,3,6,0.0,Attrited Customer,0.9874,High
709649958,Silver,$60K - $80K,62,4,45,5,6,0.01,Attrited Customer,0.9874,High
708681708,Blue,Less than $40K,51,5,29,3,2,0.0,Attrited Customer,0.9874,High
780292683,Blue,$120K +,55,3,24,4,4,0.096,Attrited Customer,0.9872,High
717242058,Blue,Less than $40K,43,2,42,3,4,0.0,Attrited Customer,0.9872,High
717529233,Blue,Less than $40K,40,4,44,3,2,0.0,Attrited Customer,0.9871,High
719902908,Blue,$80K - $120K,51,3,31,3,3,0.0,Attrited Customer,0.9871,High
712783083,Blue,Less than $40K,48,1,35,2,3,0.0,Attrited Customer,0.987,High
712953483,Blue,Less than $40K,64,1,39,3,4,0.0,Attrited Customer,0.987,High
721417233,Blue,$60K - $80K,45,3,27,5,3,0.0,Attrited Customer,0.9869,High
713206683,Silver,$80K - $120K,40,3,26,1,3,0.0,Attrited Customer,0.9868,High
712660308,Blue,Less than $40K,44,2,40,3,3,0.0,Attrited Customer,0.9867,High
720872433,Blue,$40K - $60K,39,5,42,3,6,0.0,Attrited Customer,0.9865,High
711507783,Blue,Less than $40K,54,3,41,4,3,0.0,Attrited Customer,0.9864,High
779681433,Blue,$40K - $60K,48,6,26,3,4,0.0,Attrited Customer,0.9864,High
716448783,Blue,$40K - $60K,48,2,34,4,3,0.0,Attrited Customer,0.9863,High
772407333,Blue,Less than $40K,41,5,30,3,3,0.0,Attrited Customer,0.9863,High
711683358,Blue,Less than $40K,46,2,44,3,4,0.0,Attrited Customer,0.9862,High
713021208,Silver,Unknown,55,2,40,3,3,0.0,Attrited Customer,0.9862,High
709708233,Blue,Less than $40K,49,3,38,4,2,0.0,Attrited Customer,0.9861,High
711745233,Blue,Unknown,30,1,69,2,4,0.0,Attrited Customer,0.9861,High
709977933,Blue,$80K - $120K,52,2,60,3,4,0.02,Attrited Customer,0.986,High
767712558,Blue,$60K - $80K,59,2,10,3,3,0.0,Attrited Customer,0.986,High
714145233,Silver,$80K - $120K,34,1,49,2,3,0.012,Attrited Customer,0.9859,High
785011383,Blue,$40K - $60K,36,1,38,3,4,0.0,Attrited Customer,0.9859,High
718731183,Blue,$40K - $60K,61,1,14,2,2,0.144,Attrited Customer,0.9858,High
712982808,Blue,$80K - $120K,47,1,42,3,3,0.0,Attrited Customer,0.9857,High
708874533,Blue,Less than $40K,45,1,24,3,2,0.0,Attrited Customer,0.9856,High
717172308,Blue,$40K - $60K,45,4,32,2,4,0.0,Attrited Customer,0.9856,High
794977533,Blue,$60K - $80K,62,3,16,3,2,0.0,Attrited Customer,0.9855,High
708117933,Blue,Less than $40K,44,3,34,2,3,0.0,Attrited Customer,0.9853,High
711887583,Blue,$80K - $120K,47,2,18,3,3,0.299,Attrited Customer,0.9852,High
772336458,Blue,$40K - $60K,60,4,12,4,3,0.713,Attrited Customer,0.9849,High
713730933,Blue,Less than $40K,53,2,44,3,5,0.0,Attrited Customer,0.9848,High
710064033,Blue,$40K - $60K,45,2,42,2,5,0.0,Attrited Customer,0.9848,High
713931258,Blue,Less than $40K,56,2,42,3,4,0.0,Attrited Customer,0.9846,High
708386958,Blue,Less than $40K,47,3,28,3,2,0.0,Attrited Customer,0.9846,High
715511658,Blue,$40K - $60K,49,3,27,1,4,0.0,Existing Customer,0.9846,High
710251608,Blue,Less than $40K,62,3,27,3,4,0.399,Existing Customer,0.9845,High
811604133,Blue,Less than $40K,47,3,23,3,2,0.626,Existing Customer,0.9843,High
716668308,Blue,Unknown,39,3,39,2,4,0.0,Attrited Customer,0.984,High
720197058,Blue,Unknown,47,1,45,3,4,0.0,Attrited Customer,0.9839,High
789777408,Blue,Less than $40K,26,3,26,2,3,0.99,Attrited Customer,0.9839,High
713736333,Blue,$40K - $60K,41,1,41,3,4,0.0,Attrited Customer,0.9839,High
708976908,Blue,$80K - $120K,40,4,43,4,3,0.0,Attrited Customer,0.9837,High
719577258,Blue,Less than $40K,43,3,39,3,4,0.0,Attrited Customer,0.9837,High
716383683,Blue,Less than $40K,39,4,28,3,4,0.0,Existing Customer,0.9836,High
718939083,Blue,Less than $40K,54,3,15,1,3,0.213,Attrited Customer,0.9836,High
720598308,Blue,$120K +,47,3,35,2,6,0.033,Attrited Customer,0.9836,High
772528158,Blue,Less than $40K,55,4,42,3,4,0.0,Attrited Customer,0.9836,High
719604858,Blue,Less than $40K,45,4,37,3,3,0.0,Attrited Customer,0.9836,High
714791208,Blue,Less than $40K,47,6,24,5,3,0.607,Existing Customer,0.9836,High
708804633,Blue,Less than $40K,44,1,39,2,2,0.0,Attrited Customer,0.9835,High
771028533,Silver,Less than $40K,48,5,25,1,3,0.0,Attrited Customer,0.9835,High
709709283,Blue,$40K - $60K,38,1,40,2,4,0.093,Attrited Customer,0.9835,High
709798908,Blue,Less than $40K,45,3,43,3,4,0.0,Attrited Customer,0.9834,High
778708533,Blue,$40K - $60K,26,2,27,2,4,0.934,Attrited Customer,0.9833,High
714013983,Blue,Less than $40K,37,3,41,3,3,0.0,Attrited Customer,0.9833,High
785237958,Blue,$60K - $80K,45,2,35,3,3,0.0,Attrited Customer,0.9832,High
719818983,Blue,$80K - $120K,39,1,35,3,4,0.0,Attrited Customer,0.9832,High
711242058,Blue,$80K - $120K,48,1,16,3,1,0.212,Attrited Customer,0.9829,High
712900308,Blue,Less than $40K,44,4,37,3,3,0.0,Attrited Customer,0.9829,High
709164408,Blue,Less than $40K,32,1,20,3,3,0.765,Attrited Customer,0.9827,High
710410158,Blue,$80K - $120K,49,3,35,4,3,0.0,Attrited Customer,0.9826,High
718121658,Blue,$60K - $80K,56,5,17,3,3,0.0,Attrited Customer,0.9825,High
714629358,Blue,$40K - $60K,54,2,41,3,4,0.0,Attrited Customer,0.9825,High
709224033,Blue,$60K - $80K,53,1,36,3,2,0.0,Attrited Customer,0.9822,High
721178583,Blue,Unknown,37,2,29,3,2,0.0,Attrited Customer,0.9822,High
813499458,Blue,$60K - $80K,45,3,31,3,1,0.0,Attrited Customer,0.982,High
715773783,Blue,$40K - $60K,44,2,38,3,4,0.134,Attrited Customer,0.9819,High
787339158,Blue,$80K - $120K,56,3,41,6,3,0.0,Attrited Customer,0.9819,High
713748708,Blue,Less than $40K,46,1,44,2,4,0.0,Attrited Customer,0.9817,High
716564433,Blue,Less than $40K,53,3,41,2,4,0.0,Attrited Customer,0.9816,High
709297608,Blue,$80K - $120K,38,3,32,3,2,0.0,Attrited Customer,0.9816,High
772073508,Blue,Less than $40K,52,5,47,3,6,0.0,Attrited Customer,0.9815,High
712578933,Blue,$40K - $60K,35,3,44,2,6,0.0,Attrited Customer,0.9814,High
709500183,Blue,Less than $40K,46,2,44,3,4,0.0,Attrited Customer,0.9814,High
712706058,Blue,Less than $40K,44,1,46,2,4,0.0,Attrited Customer,0.9813,High
778706508,Blue,$60K - $80K,43,3,30,5,4,0.0,Existing Customer,0.9813,High
818699208,Blue,Unknown,47,4,43,4,4,0.0,Attrited Customer,0.9812,High
802622733,Blue,$40K - $60K,44,1,95,3,3,0.0,Existing Customer,0.9812,High
712157958,Blue,$80K - $120K,44,1,42,3,2,0.0,Attrited Customer,0.9811,High
802460433,Blue,Unknown,57,2,37,5,2,0.0,Attrited Customer,0.9809,High
799239033,Blue,$40K - $60K,53,1,46,3,4,0.0,Attrited Customer,0.9809,High
709112508,Blue,Less than $40K,42,3,36,3,4,0.342,Attrited Customer,0.9809,High
711935283,Blue,$80K - $120K,55,3,36,1,4,0.0,Attrited Customer,0.9808,High
711939558,Blue,Less than $40K,37,3,39,2,3,0.0,Attrited Customer,0.9808,High
812247033,Blue,Less than $40K,51,5,39,5,2,0.0,Attrited Customer,0.9806,High
813752433,Blue,Less than $40K,43,5,27,2,4,0.487,Attrited Customer,0.9806,High
721344858,Blue,Less than $40K,26,4,36,4,4,0.202,Existing Customer,0.9805,High
772271508,Blue,Unknown,46,2,42,3,3,0.0,Attrited Customer,0.9803,High
807379833,Blue,$40K - $60K,48,2,34,3,3,0.016,Attrited Customer,0.9803,High
708953883,Blue,$80K - $120K,53,2,20,2,1,0.0,Attrited Customer,0.9802,High
789262683,Blue,$40K - $60K,60,4,23,3,2,0.0,Existing Customer,0.9801,High
711846183,Blue,$40K - $60K,38,3,31,2,3,0.0,Attrited Customer,0.9801,High
708330858,Blue,$120K +,57,2,11,3,3,0.167,Attrited Customer,0.9801,High
781137783,Blue,Less than $40K,40,1,43,3,4,0.079,Attrited Customer,0.9799,High
779841483,Blue,Unknown,55,1,36,3,3,0.11,Attrited Customer,0.9799,High
772442883,Blue,Unknown,51,2,38,3,5,0.181,Attrited Customer,0.9799,High
709309308,Blue,$80K - $120K,50,1,34,3,2,0.0,Attrited Customer,0.9798,High
709566408,Blue,Less than $40K,40,5,70,3,6,0.0,Attrited Customer,0.9794,High
789964983,Blue,$40K - $60K,45,2,35,2,4,0.0,Attrited Customer,0.9792,High
713466033,Blue,Less than $40K,39,5,33,2,3,0.0,Attrited Customer,0.9791,High
716506083,Blue,Less than $40K,44,5,60,3,4,0.0,Attrited Customer,0.979,High
818459733,Blue,$120K +,41,3,32,2,2,0.0,Attrited Customer,0.979,High
720185058,Blue,$60K - $80K,46,2,23,3,4,0.0,Attrited Customer,0.9789,High
787460883,Blue,$40K - $60K,41,3,34,3,4,0.0,Attrited Customer,0.9788,High
718458858,Silver,$80K - $120K,41,2,53,3,6,0.0,Attrited Customer,0.9788,High
712257258,Blue,Less than $40K,50,4,39,2,5,0.0,Attrited Customer,0.9786,High
711551958,Blue,$60K - $80K,59,3,24,3,3,0.0,Attrited Customer,0.9786,High
712130058,Blue,Unknown,44,3,41,3,4,0.039,Attrited Customer,0.9786,High
720370533,Blue,$60K - $80K,55,3,15,2,2,0.0,Attrited Customer,0.9784,High
717774333,Blue,$60K - $80K,48,1,57,2,5,0.0,Attrited Customer,0.9783,High
713114133,Blue,Less than $40K,42,4,38,2,3,0.0,Attrited Customer,0.9783,High
711102858,Blue,Unknown,48,4,34,2,3,0.274,Attrited Customer,0.9782,High
771411408,Blue,$80K - $120K,50,2,54,3,4,0.0,Attrited Customer,0.9782,High
713003358,Blue,$80K - $120K,40,2,40,2,2,0.005,Attrited Customer,0.9781,High
713608383,Blue,Less than $40K,54,1,36,1,4,0.0,Attrited Customer,0.978,High
709534083,Blue,Less than $40K,58,3,41,2,6,0.0,Attrited Customer,0.9779,High
715187733,Blue,Unknown,26,3,46,4,3,0.0,Existing Customer,0.9778,High
709163358,Gold,$60K - $80K,41,2,35,3,4,0.073,Attrited Customer,0.9778,High
709850508,Blue,Less than $40K,33,3,37,2,5,0.0,Attrited Customer,0.9778,High
717429258,Blue,Less than $40K,48,3,45,3,4,0.304,Attrited Customer,0.9777,High
804462633,Blue,Less than $40K,43,3,44,3,3,0.0,Attrited Customer,0.9776,High
718414008,Blue,$120K +,50,3,13,2,2,0.03,Existing Customer,0.9775,High
771733608,Blue,$40K - $60K,47,3,40,3,5,0.0,Attrited Customer,0.9775,High
708633783,Blue,$80K - $120K,43,3,39,2,4,0.0,Attrited Customer,0.9775,High
791730183,Blue,Less than $40K,38,2,50,2,6,0.246,Attrited Customer,0.9774,High
